                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5177,                 3.8003,                 1.3895,                0.01628,                0.67141,                0.11426,                0.05978,                 1.4928,                 3.5461,                  1.295,             0.00024543,             0.00024543,             0.00024543
                      2,                 1.5226,                 2.7426,                 1.3405,                0.43668,                0.07285,                0.20621,                0.11059,                 1.5806,                 3.1102,                 1.4786,               0.000495,               0.000495,               0.000495
                      3,                 1.5041,                 2.4139,                 1.3722,                0.33018,                0.32984,                0.28388,                0.14924,                 1.6379,                 2.7381,                 1.4653,             0.00073953,             0.00073953,             0.00073953
                      4,                 1.5324,                 2.2529,                 1.3588,                0.40196,                0.36522,                0.32904,                0.17479,                 1.5887,                 2.3809,                 1.4638,               0.000882,               0.000882,               0.000882
                      5,                  1.488,                 2.0621,                 1.3479,                0.40929,                0.42579,                0.38432,                0.20839,                 1.6497,                 2.2297,                 1.5305,               0.000882,               0.000882,               0.000882
                      6,                  1.443,                 2.0494,                 1.3515,                0.42857,                0.47407,                0.39746,                 0.2141,                 1.6003,                 2.1793,                 1.4774,               0.000873,               0.000873,               0.000873
                      7,                 1.4447,                 1.9001,                 1.3356,                0.45556,                0.52502,                0.50049,                0.26783,                 1.5873,                 2.2094,                 1.5037,               0.000864,               0.000864,               0.000864
                      8,                 1.4353,                 1.7378,                 1.2937,                 0.4171,                0.37331,                0.34297,                0.18927,                 1.6355,                 2.7829,                 1.6392,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.4111,                 1.7031,                 1.3087,                0.62891,                0.54741,                0.58681,                0.32731,                 1.5501,                 1.7298,                 1.4455,             0.00084601,             0.00084601,             0.00084601
                     10,                  1.381,                 1.6585,                 1.2907,                0.66852,                0.52221,                0.57962,                 0.3306,                  1.523,                 1.7501,                 1.4442,             0.00083701,             0.00083701,             0.00083701
